c,1,2
lg,1,2
le,1,2
a,1,1
b,1,1
a#,1,0
a,1,1
lg,2,0
e,2,0
g,2,0
ha,1,1
f,1,0
g,1,1
e,1,1
c,1,0
d,1,0
b,3,0
